sec_id,ca_type,ex_date,record_date,pay_date,declared_date,amount,currency,split_ratio,split_from,split_to,dividend_type,frequency,adjusted,source,notes
AAPL,dividend,2023-11-10,,,,0.24,USD,,,,regular,,True,yfinance,
AAPL,dividend,2024-02-09,,,,0.24,USD,,,,regular,,True,yfinance,
AAPL,dividend,2024-05-10,,,,0.25,USD,,,,regular,,True,yfinance,
AAPL,dividend,2024-08-12,,,,0.25,USD,,,,regular,,True,yfinance,
AAPL,dividend,2024-11-08,,,,0.25,USD,,,,regular,,True,yfinance,
AAPL,dividend,2025-02-10,,,,0.25,USD,,,,regular,,True,yfinance,
AAPL,dividend,2025-05-12,,,,0.26,USD,,,,regular,,True,yfinance,
AAPL,dividend,2025-08-11,,,,0.26,USD,,,,regular,,True,yfinance,
AAPL,dividend,2025-11-10,,,,0.26,USD,,,,regular,,True,yfinance,
AAPL,dividend,2026-02-09,,,,0.26,USD,,,,regular,,True,yfinance,
ASML,dividend,2025-04-28,,,,2.091,EUR,,,,regular,,True,yfinance,
ASML,dividend,2025-07-29,,,,1.847,EUR,,,,regular,,True,yfinance,
ASML,dividend,2025-10-29,,,,1.864,EUR,,,,regular,,True,yfinance,
ATRA,split,2024-06-20,,,,,,0.04,25.0,1.0,,,True,yfinance,Reverse split 1:25
AVGO,dividend,2023-09-20,,,,0.46,USD,,,,regular,,True,yfinance,
AVGO,dividend,2023-12-19,,,,0.525,USD,,,,regular,,True,yfinance,
AVGO,dividend,2024-03-20,,,,0.525,USD,,,,regular,,True,yfinance,
AVGO,dividend,2024-06-24,,,,0.525,USD,,,,regular,,True,yfinance,
AVGO,split,2024-07-15,,,,,,10.0,1.0,10.0,,,True,yfinance,Forward split 10:1
AVGO,dividend,2024-09-19,,,,0.53,USD,,,,regular,,True,yfinance,
AVGO,dividend,2024-12-23,,,,0.59,USD,,,,regular,,True,yfinance,
AVGO,dividend,2025-03-20,,,,0.59,USD,,,,regular,,True,yfinance,
AVGO,dividend,2025-06-20,,,,0.59,USD,,,,regular,,True,yfinance,
AVGO,dividend,2025-09-22,,,,0.59,USD,,,,regular,,True,yfinance,
AVGO,dividend,2025-12-22,,,,0.65,USD,,,,regular,,True,yfinance,
